"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 09 17:04:44 IST 2020","Mon Mar 09 17:04:55 IST 2020","11018","","Login Module","","Login Module","should not allow to login with invalid email address","should not allow to login with invalid email address",""
"broken","Mon Mar 09 16:06:37 IST 2020","Mon Mar 09 16:06:42 IST 2020","4311","","Change Password Module","","Change Password Module","C156(C)-user wants to change password again","C156(C)-user wants to change password again",""
"passed","Mon Mar 09 16:06:59 IST 2020","Mon Mar 09 16:07:01 IST 2020","2026","","Notification Preference Module","","Notification Preference Module","C3564 - Verify General Notifications are displayed on My Account>Notification Preferences page","C3564 - Verify General Notifications are displayed on My Account>Notification Preferences page",""
"broken","Mon Mar 09 16:04:29 IST 2020","Mon Mar 09 16:04:29 IST 2020","569","","My Account Module","","My Account Module","C150 - Verify Email validation","C150 - Verify Email validation",""
"broken","Mon Mar 09 16:05:42 IST 2020","Mon Mar 09 16:05:54 IST 2020","12022","","Change Password Module","","Change Password Module","C156(A)-user wants to change password","C156(A)-user wants to change password",""
"passed","Mon Mar 09 16:07:24 IST 2020","Mon Mar 09 16:07:42 IST 2020","17489","","Notification Preference Module","","Notification Preference Module","C3573 - Verify User is able to enable all/some channels of 'Contact Assigned' notification at a time","C3573 - Verify User is able to enable all/some channels of 'Contact Assigned' notification at a time",""
"passed","Mon Mar 09 16:08:20 IST 2020","Mon Mar 09 16:08:26 IST 2020","6070","","Interface Preference Module","","Interface Preference Module","C4941-Verify by default all options of Interface Preferences are disabled","C4941-Verify by default all options of Interface Preferences are disabled",""
"broken","Fri Dec 27 12:02:43 IST 2019","Fri Dec 27 12:02:43 IST 2019","2","","Login Module","","Login Module","""before all"" hook","""before all"" hook",""
"broken","Mon Mar 09 16:05:00 IST 2020","Mon Mar 09 16:05:12 IST 2020","12064","","Change Password Module","","Change Password Module","C4874-Verify Change Password page is available under My Account","C4874-Verify Change Password page is available under My Account",""
"passed","Mon Mar 09 16:03:59 IST 2020","Mon Mar 09 16:04:07 IST 2020","7288","","My Account Module","","My Account Module","C144 - Verify General Settings page is available under My Account","C144 - Verify General Settings page is available under My Account",""
"broken","Mon Mar 09 16:05:32 IST 2020","Mon Mar 09 16:05:42 IST 2020","10019","","Change Password Module","","Change Password Module","C155-Verify wrong Re-type Password validation","C155-Verify wrong Re-type Password validation",""
"passed","Mon Mar 09 16:08:35 IST 2020","Mon Mar 09 16:08:44 IST 2020","8824","","Interface Preference Module","","Interface Preference Module","C4561-Verify user is able to disable all/some preferences at a time","C4561-Verify user is able to disable all/some preferences at a time",""
"broken","Mon Mar 09 17:05:06 IST 2020","Mon Mar 09 17:05:17 IST 2020","11023","","Login Module","","Login Module","should  allow to login with valid input and verify home screen banner","should  allow to login with valid input and verify home screen banner",""
"passed","Mon Mar 09 16:04:29 IST 2020","Mon Mar 09 16:04:39 IST 2020","9876","","My Account Module","","My Account Module","C160 - Verify Nick Name field with more than 100 chars validation","C160 - Verify Nick Name field with more than 100 chars validation",""
"passed","Mon Mar 09 16:04:19 IST 2020","Mon Mar 09 16:04:23 IST 2020","3856","","My Account Module","","My Account Module","C147 - Verify First Name field with more than 100 chars validation","C147 - Verify First Name field with more than 100 chars validation",""
"passed","Mon Mar 09 16:05:54 IST 2020","Mon Mar 09 16:05:58 IST 2020","4189","","Change Password Module","","Change Password Module","C156(B)-user wants to logout after change password","C156(B)-user wants to logout after change password",""
